,video_id,video_diggcount,video_sharecount,video_commentcount,video_playcount
2729,7331526935786589486,4000000.0,176700.0,18800.0,54100000.0
2739,7325192838461836586,3600000.0,4256.0,5490.0,38700000.0
2746,7313773918144204074,2400000.0,5066.0,11300.0,59200000.0
2760,7312141226826878214,3700000.0,10200.0,10700.0,29200000.0
2774,7331166847921835297,2800000.0,4933.0,7493.0,19300000.0
2803,7328476814362430762,4100000.0,53100.0,21100.0,23800000.0
2821,7326842376004111646,1300000.0,1090.0,1676.0,13700000.0
2822,7330383703002123553,960500.0,4597.0,3492.0,17500000.0
2826,7326922297699306794,1500000.0,9766.0,6591.0,11400000.0
2829,7330796449761873194,2400000.0,18100.0,17100.0,13400000.0
2830,7059993381795089710,2500000.0,28400.0,113300.0,757500000.0
2840,7325907240894893318,2100000.0,21500.0,25000.0,11900000.0
2844,7311013835563961606,752400.0,489.0,952.0,13600000.0
2847,7328919819242261792,22800000.0,287400.0,108000.0,152800000.0
2862,7322914337629211936,5500000.0,53800.0,82400.0,145100000.0
2864,7330581321812593953,9100000.0,170900.0,58900.0,66700000.0
2867,7331161273486429483,733900.0,738.0,3692.0,15900000.0
2869,7330770720513068334,3900000.0,23600.0,34700.0,23900000.0
2872,7329144165009329441,14300000.0,184200.0,59400.0,236400000.0
2876,7327874546424581422,827300.0,5456.0,4104.0,11700000.0
2881,7330045581848562987,5900000.0,50900.0,16000.0,26500000.0
2882,7330127723295264043,1400000.0,1727.0,2467.0,9700000.0
2883,7314542807581035806,2600000.0,62300.0,9450.0,15100000.0
2885,7330916180233899269,5200000.0,95400.0,22400.0,42900000.0
2886,7328178624522112289,2400000.0,30000.0,28600.0,13200000.0
2907,7327024671264722209,2600000.0,50500.0,3020.0,14000000.0
2923,7327327069099052330,4600000.0,36300.0,23500.0,32300000.0
2941,7328460293477289249,2000000.0,7031.0,4439.0,10300000.0
2946,7329708546503740714,1600000.0,5555.0,10100.0,12200000.0
2948,7326875593297939743,3100000.0,34000.0,16600.0,16600000.0
2958,7311039322520636715,1800000.0,16500.0,1607.0,14700000.0
2981,7330514654558473514,2000000.0,1892.0,7369.0,13300000.0
2994,7326537319517867297,1400000.0,22400.0,3730.0,13700000.0
2995,7309247847898090794,2100000.0,6843.0,8438.0,19600000.0
3000,7328440277843119393,2200000.0,10300.0,4643.0,10800000.0
3002,7329617730104085791,2300000.0,18200.0,14300.0,10900000.0
3003,7330833345380650283,1400000.0,8041.0,2462.0,13700000.0
3017,7328955839501372704,3200000.0,26800.0,12900.0,20000000.0
3022,7329188358473747745,1400000.0,14900.0,5758.0,9600000.0
3029,7330422164841090347,938500.0,12200.0,2150.0,18900000.0
3036,7331012272510274849,8700000.0,130200.0,41300.0,44300000.0
3052,7331066273410895146,2400000.0,6963.0,6035.0,12800000.0
3056,7326350989961874734,4600000.0,221400.0,26400.0,46400000.0
3068,7321309755174161697,2500000.0,93200.0,7142.0,14100000.0
3079,7330815984284093727,5000000.0,83700.0,51000.0,47500000.0
3088,7330093448998964511,4800000.0,27400.0,0.0,59600000.0
3092,7330111017822801157,3400000.0,10800.0,8779.0,19000000.0
